name,Operation Coverage (Suite)-value,Parameter coverage-value,Operation Coverage (Runtime Unique)-value_success,Operation Coverage (Runtime Unique)-value_failure,Operation Coverage (Runtime Unique)-value_invalid,Operation Coverage (Runtime Instance-wise)-value_success,Operation Coverage (Runtime Instance-wise)-value_failure,Operation Coverage (Runtime Instance-wise)-value_invalid,Output status code coverage-value,Parameter coverage-value_success,Parameter coverage-value_failure,Parameter coverage-value_invalid,Number of TestOp Executions,Number of 2xx,Number of 4xx,Number of 5xx,Number of Sequences,Successful Sequences
car_api_evomaster_metrics.json,42.9,3,50,0,100,13.6,0,86.4,23.7,66.7,0,66.7,22,3,19,0,8,2
gestao-hospitalar_evomaster_metrics.json,85,68.6,17.6,0,100,8.1,0,91.9,25,20.8,0,100,37,3,34,0,24,2
languagetool_evomaster_metrics.json,50,0,100,0,0,100,0,0,50,0,0,0,1,1,0,0,1,1
market_evomaster_metrics.json,100,52.9,0,38.5,84.6,0,29.4,70.6,30.9,0,22.2,88.9,17,0,12,5,17,0
ncs_evomaster_metrics.json,100,100,100,0,66.7,60,0,40,41.7,100,0,64.3,10,6,4,0,10,6
person-controller_evomaster_metrics.json,66.7,50,50,62.5,0,45.5,54.5,0,18,25,100,0,11,5,0,6,10,5
petstore_evomaster_metrics.json,100,88,65,5,50,50.8,1.5,47.7,72.7,59.1,4.5,45.5,65,33,31,1,20,10
project_problem_controller_evomaster_metrics.json,100,60,37.5,25,100,18.8,12.5,68.8,44.4,33.3,16.7,100,16,3,11,2,16,3
restcountries_evomaster_metrics.json,100,85.3,45.5,4.5,90.9,19.8,1.2,79.1,159.1,37.9,0,96.6,86,17,68,1,33,5
restfulwebservices_evomaster_metrics.json,100,71.9,72.7,24.2,48.5,48,18,34,34.5,56.5,39.1,60.9,50,24,17,9,48,24
scs_evomaster_metrics.json,100,100,100,0,0,100,0,0,25,100,0,0,11,11,0,0,11,11
xkcd_evomaster_metrics.json,100,100,100,0,50,90,0,10,150,100,0,100,10,9,1,0,3,3
