name,Operation Coverage (Suite)-value,Parameter coverage-value,Operation Coverage (Runtime Unique)-value_success,Operation Coverage (Runtime Unique)-value_failure,Operation Coverage (Runtime Unique)-value_invalid,Operation Coverage (Runtime Instance-wise)-value_success,Operation Coverage (Runtime Instance-wise)-value_failure,Operation Coverage (Runtime Instance-wise)-value_invalid,Output status class coverage-value,Output status code coverage-value,Parameter coverage-value_success,Parameter coverage-value_failure,Parameter coverage-value_invalid,Number of Test Executions,Number of 2xx,Number of 4xx,Number of 5xx,Number of Sequences,Successful Sequences,SeqCov
metric_car_api.json,100,100,85.7,7.1,78.6,57.1,0.7,42.1,42.9,63.2,61.4,1,95,140,80,59,1,140,80,0.571429
metric_gestao-hospitalar.json,100,100,80,0,20,91.8,0,7.6,25,22.7,71.4,0,28.6,67,145,12,0,67,55,0.820895522
metric_languagetool.json,100,100,100,0,50,80,0,20,37.5,150,83.3,0,100,15,12,3,0,15,12,0.8
metric_market.json,100,100,23.1,23.1,69.2,51.3,20,24,28.8,29.1,13.3,33.3,86.7,72,77,36,30,72,6,0.083333333
metric_ncs.json,100,100,50,0,50,50,0,50,25,25,50,0,50,18,9,9,0,18,9,0.5
metric_person-controller.json,100,100,41.7,50,0,62.3,26.1,0,22.9,22,28.6,71.4,0,46,43,0,18,46,28,0.608695652
metric_petstore.json,100,100,100,0,0,100,0,0,25,60.6,100,0,0,60,118,0,0,60,60,1
metric_project_problem_controller.json,100,100,12.5,0,25,14.1,0,39.4,9.4,8.3,25,0,75,28,10,28,0,28,0,0
metric_restcountries.json,100,100,40.9,0,59.1,38.8,0,61.3,25,100,32.4,0,67.6,80,31,49,0,80,31,0.3875
metric_restful_web_services.json,100,100,51.5,12.1,18.2,53.1,3.7,12.2,20.5,19.4,38.9,22.2,50,81,144,33,10,81,38,0.469135802
metric_scs.json,100,100,100,0,0,100,0,0,25,25,100,0,0,33,33,0,0,33,33,1
metric_user_management.json,100,100,30.4,47.8,0,40.4,39.4,0,19.6,17.8,50,50,0,55,40,0,39,55,16,0.290909091
metric_xkcd.json,100,100,100,0,0,100,0,0,25,100,100,0,0,5,5,0,0,5,5,1
